Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
Lightweight Bout,Jared Gordon,Mark Madsen,False,KO/TKO,1,4:42,,Marc Goddard,,Jared Gordon,1,36 of 66,54%,54 of 87,0 of 0,---,0,0,0:19,36 of 66,27 of 57,5 of 5,4 of 4,22 of 51,10 of 11,4 of 4,Mark Madsen,0,35 of 57,61%,46 of 69,0 of 0,---,0,0,1:04,35 of 57,23 of 44,12 of 13,0 of 0,16 of 37,19 of 20,0 of 0
Catch Weight Bout,John Castaneda,Kyung Ho Kang,False,Decision - Unanimous,3,5:00,,Dan Miragliotta,,John Castaneda,0,111 of 179,62%,119 of 187,3 of 8,37%,0,0,2:18,111 of 179,47 of 103,30 of 39,34 of 37,109 of 176,2 of 3,0 of 0,Kyung Ho Kang,0,88 of 202,43%,88 of 203,0 of 0,---,0,0,0:00,88 of 202,59 of 170,17 of 19,12 of 13,82 of 194,6 of 8,0 of 0
Flyweight Bout,Joshua Van,Kevin Borjas,False,Decision - Unanimous,3,5:00,,Mike Beltran,,Joshua Van,0,156 of 300,52%,165 of 311,2 of 4,50%,0,0,1:03,156 of 300,92 of 227,49 of 57,15 of 16,153 of 295,3 of 5,0 of 0,Kevin Borjas,0,75 of 197,38%,78 of 200,0 of 3,0%,0,1,0:21,75 of 197,54 of 170,9 of 12,12 of 15,73 of 193,1 of 2,1 of 2
Featherweight Bout,Jamall Emmers,Dennis Buzukja,False,KO/TKO,1,0:49,,Keith Peterson,,Dennis Buzukja,0,3 of 7,42%,3 of 7,0 of 0,---,0,0,0:00,3 of 7,0 of 4,1 of 1,2 of 2,3 of 7,0 of 0,0 of 0,Jamall Emmers,1,14 of 20,70%,14 of 20,0 of 0,---,0,0,0:03,14 of 20,8 of 12,2 of 4,4 of 4,10 of 14,0 of 0,4 of 6
Heavyweight Bout,Jailton Almeida,Derrick Lewis,False,Decision - Unanimous,5,5:00,,Marc Goddard,,Jailton Almeida,0,38 of 56,67%,120 of 153,6 of 15,40%,4,1,21:10,38 of 56,32 of 48,5 of 5,1 of 3,5 of 7,3 of 8,30 of 41,Derrick Lewis,0,20 of 39,51%,28 of 54,0 of 2,0%,0,0,0:57,20 of 39,17 of 33,3 of 6,0 of 0,2 of 10,1 of 1,17 of 28
Welterweight Bout,Nicolas Dalby,Gabriel Bonfim,False,KO/TKO,2,4:33,,Jason Herzog,,Gabriel Bonfim,0,39 of 91,42%,47 of 103,3 of 5,60%,1,0,4:19,39 of 91,27 of 77,3 of 4,9 of 10,32 of 71,3 of 9,4 of 11,Nicolas Dalby,1,53 of 113,46%,64 of 128,0 of 1,0%,0,0,1:27,53 of 113,41 of 96,7 of 11,5 of 6,25 of 76,25 of 33,3 of 4
Heavyweight Bout,Rodrigo Nascimento,Don'Tale Mayes,False,Decision - Unanimous,3,5:00,,Osiris Maia,,Rodrigo Nascimento,0,70 of 154,45%,91 of 180,0 of 3,0%,0,0,2:21,70 of 154,51 of 132,9 of 11,10 of 11,58 of 134,12 of 20,0 of 0,Don'Tale Mayes,0,79 of 159,49%,105 of 190,0 of 1,0%,0,0,0:39,79 of 159,39 of 103,30 of 44,10 of 12,55 of 128,24 of 31,0 of 0
Middleweight Bout,Caio Borralho,Abus Magomedov,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Caio Borralho,1,51 of 103,49%,70 of 126,0 of 1,0%,0,0,2:17,51 of 103,33 of 73,11 of 15,7 of 15,50 of 102,0 of 0,1 of 1,Abus Magomedov,0,38 of 107,35%,39 of 110,0 of 0,---,0,0,0:00,38 of 107,19 of 74,14 of 24,5 of 9,38 of 107,0 of 0,0 of 0
Catch Weight Bout,Elves Brener,Kaynan Kruschewsky,False,KO/TKO,1,4:01,,Osiris Maia,,Elves Brener,1,16 of 33,48%,16 of 33,0 of 0,---,0,0,0:03,16 of 33,6 of 20,2 of 3,8 of 10,16 of 33,0 of 0,0 of 0,Kaynan Kruschewsky,0,8 of 31,25%,8 of 31,0 of 0,---,0,0,0:00,8 of 31,6 of 25,2 of 6,0 of 0,8 of 31,0 of 0,0 of 0
Welterweight Bout,,,True,Decision - Majority,3,5:00,,Fernando Portella,,Rinat Fakhretdinov,1,87 of 186,46%,109 of 216,1 of 9,11%,0,1,4:25,87 of 186,50 of 144,11 of 16,26 of 26,65 of 156,7 of 8,15 of 22,Elizeu Zaleski dos Santos,0,75 of 152,49%,115 of 211,0 of 1,0%,1,0,1:24,75 of 152,47 of 113,17 of 26,11 of 13,57 of 129,2 of 3,16 of 20
Welterweight Bout,,,True,Decision - Majority,3,5:00,,Fernando Portella,,Rinat Fakhretdinov,1,87 of 186,46%,109 of 216,1 of 9,11%,0,1,4:25,87 of 186,50 of 144,11 of 16,26 of 26,65 of 156,7 of 8,15 of 22,Elizeu Zaleski dos Santos,0,75 of 152,49%,115 of 211,0 of 1,0%,1,0,1:24,75 of 152,47 of 113,17 of 26,11 of 13,57 of 129,2 of 3,16 of 20
Light Heavyweight Bout,Vitor Petrino,Modestas Bukauskas,False,KO/TKO,2,1:03,,Marc Goddard,,Vitor Petrino,1,8 of 26,30%,14 of 34,1 of 2,50%,0,0,2:18,8 of 26,6 of 23,2 of 3,0 of 0,7 of 21,0 of 0,1 of 5,Modestas Bukauskas,0,9 of 19,47%,12 of 23,0 of 0,---,0,0,0:00,9 of 19,5 of 14,0 of 0,4 of 5,9 of 19,0 of 0,0 of 0
Women's Strawweight Bout,Angela Hill,Denise Gomes,False,Decision - Unanimous,3,5:00,,Fernando Portella,,Angela Hill,0,76 of 120,63%,96 of 153,5 of 9,55%,0,1,8:03,76 of 120,37 of 76,37 of 42,2 of 2,40 of 68,33 of 44,3 of 8,Denise Gomes,0,62 of 133,46%,111 of 203,1 of 3,33%,0,1,1:03,62 of 133,29 of 91,25 of 33,8 of 9,34 of 97,27 of 35,1 of 1
Women's Strawweight Bout,Eduarda Moura,Montserrat Conejo Ruiz,False,KO/TKO,2,2:14,,Joao Claudio Soares,,Eduarda Moura,0,57 of 77,74%,102 of 139,3 of 3,100%,0,0,5:57,57 of 77,55 of 75,2 of 2,0 of 0,5 of 12,1 of 1,51 of 64,Montserrat Conejo Ruiz,0,5 of 22,22%,9 of 29,0 of 0,---,0,0,0:02,5 of 22,0 of 15,0 of 2,5 of 5,5 of 22,0 of 0,0 of 0
Lightweight Bout,Marc Diakiese,Kaue Fernandes,False,Decision - Split,3,5:00,,Jason Herzog,,Kaue Fernandes,0,23 of 42,54%,67 of 92,1 of 1,100%,0,0,1:27,23 of 42,6 of 20,8 of 13,9 of 9,21 of 38,2 of 4,0 of 0,Marc Diakiese,0,13 of 32,40%,65 of 92,3 of 8,37%,0,1,8:38,13 of 32,11 of 26,2 of 5,0 of 1,7 of 18,2 of 4,4 of 10
UFC Lightweight Title Bout,Islam Makhachev,Alexander Volkanovski,False,KO/TKO,1,3:06,,Marc Goddard,,Islam Makhachev,1,24 of 29,82%,39 of 46,0 of 1,0%,0,0,0:19,24 of 29,13 of 16,9 of 11,2 of 2,7 of 11,8 of 9,9 of 9,Alexander Volkanovski,0,4 of 6,66%,11 of 18,0 of 0,---,0,0,0:49,4 of 6,0 of 1,1 of 1,3 of 4,3 of 5,1 of 1,0 of 0
Middleweight Bout,Khamzat Chimaev,Kamaru Usman,False,Decision - Majority,3,5:00,,Jason Herzog,,Kamaru Usman,0,36 of 66,54%,58 of 92,0 of 1,0%,0,0,0:04,36 of 66,27 of 52,6 of 10,3 of 4,33 of 63,1 of 1,2 of 2,Khamzat Chimaev,0,38 of 70,54%,107 of 143,4 of 12,33%,1,0,7:16,38 of 70,27 of 53,3 of 9,8 of 8,22 of 53,0 of 0,16 of 17
Light Heavyweight Bout,,,False,Could Not Continue,1,3:13,,Daniel Movahedi,,Magomed Ankalaev,0,13 of 19,68%,16 of 23,1 of 1,100%,0,0,1:06,13 of 19,7 of 13,3 of 3,3 of 3,7 of 11,1 of 1,5 of 7,Johnny Walker,0,14 of 27,51%,17 of 30,0 of 0,---,0,0,0:00,14 of 27,4 of 15,1 of 2,9 of 10,14 of 27,0 of 0,0 of 0
Light Heavyweight Bout,,,False,Could Not Continue,1,3:13,,Daniel Movahedi,,Magomed Ankalaev,0,13 of 19,68%,16 of 23,1 of 1,100%,0,0,1:06,13 of 19,7 of 13,3 of 3,3 of 3,7 of 11,1 of 1,5 of 7,Johnny Walker,0,14 of 27,51%,17 of 30,0 of 0,---,0,0,0:00,14 of 27,4 of 15,1 of 2,9 of 10,14 of 27,0 of 0,0 of 0
Middleweight Bout,Ikram Aliskerov,Warlley Alves,False,KO/TKO,1,2:07,,Lukasz Bosacki,,Ikram Aliskerov,1,26 of 36,72%,26 of 36,0 of 0,---,0,0,0:00,26 of 36,20 of 29,6 of 6,0 of 1,26 of 36,0 of 0,0 of 0,Warlley Alves,0,12 of 16,75%,12 of 16,0 of 0,---,0,0,0:00,12 of 16,3 of 6,1 of 1,8 of 9,12 of 16,0 of 0,0 of 0
Bantamweight Bout,Said Nurmagomedov,Muin Gafurov,False,Submission,1,1:13,,Marc Goddard,,Said Nurmagomedov,0,5 of 11,45%,5 of 11,0 of 0,---,1,0,0:03,5 of 11,2 of 7,2 of 2,1 of 2,5 of 11,0 of 0,0 of 0,Muin Gafurov,0,1 of 3,33%,1 of 3,0 of 1,0%,0,0,0:07,1 of 3,0 of 2,0 of 0,1 of 1,1 of 3,0 of 0,0 of 0
Flyweight Bout,Muhammad Mokaev,Tim Elliott,False,Submission,3,3:03,,Jason Herzog,,Tim Elliott,0,30 of 43,69%,71 of 87,1 of 1,100%,2,0,2:23,30 of 43,19 of 30,10 of 12,1 of 1,14 of 27,8 of 8,8 of 8,Muhammad Mokaev,0,14 of 33,42%,118 of 146,3 of 6,50%,1,0,8:24,14 of 33,8 of 21,3 of 8,3 of 4,10 of 29,1 of 1,3 of 3
Lightweight Bout,Trevor Peek,Mohammad Yahya,False,Decision - Unanimous,3,5:00,,Daniel Movahedi,,Mohammad Yahya,0,43 of 92,46%,47 of 96,1 of 1,100%,1,0,0:24,43 of 92,28 of 70,14 of 21,1 of 1,41 of 90,2 of 2,0 of 0,Trevor Peek,0,61 of 97,62%,83 of 123,4 of 7,57%,0,0,5:10,61 of 97,32 of 61,16 of 23,13 of 13,50 of 83,6 of 9,5 of 5
Bantamweight Bout,,,False,Could Not Continue,2,0:15,,Lukasz Bosacki,,Javid Basharat,0,30 of 43,69%,33 of 46,1 of 4,25%,0,0,0:29,30 of 43,8 of 21,8 of 8,14 of 14,26 of 39,4 of 4,0 of 0,Victor Henry,0,25 of 36,69%,30 of 41,0 of 1,0%,0,0,0:14,25 of 36,3 of 10,6 of 6,16 of 20,23 of 34,2 of 2,0 of 0
Bantamweight Bout,,,False,Could Not Continue,2,0:15,,Lukasz Bosacki,,Javid Basharat,0,30 of 43,69%,33 of 46,1 of 4,25%,0,0,0:29,30 of 43,8 of 21,8 of 8,14 of 14,26 of 39,4 of 4,0 of 0,Victor Henry,0,25 of 36,69%,30 of 41,0 of 1,0%,0,0,0:14,25 of 36,3 of 10,6 of 6,16 of 20,23 of 34,2 of 2,0 of 0
Middleweight Bout,Sedriques Dumas,Abu Azaitar,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Abu Azaitar,0,41 of 106,38%,87 of 153,2 of 4,50%,0,0,0:32,41 of 106,21 of 78,13 of 18,7 of 10,31 of 90,3 of 6,7 of 10,Sedriques Dumas,0,34 of 79,43%,72 of 117,1 of 2,50%,0,0,4:10,34 of 79,11 of 45,5 of 11,18 of 23,31 of 76,0 of 0,3 of 3
Lightweight Bout,Mike Breeden,Anshul Jubli,False,KO/TKO,3,3:00,,Marc Goddard,,Mike Breeden,1,92 of 177,51%,94 of 181,0 of 1,0%,0,0,0:01,92 of 177,75 of 157,11 of 13,6 of 7,89 of 174,2 of 2,1 of 1,Anshul Jubli,0,103 of 194,53%,104 of 195,0 of 5,0%,0,0,0:05,103 of 194,63 of 145,27 of 36,13 of 13,97 of 181,6 of 13,0 of 0
Featherweight Bout,Muhammad Naimov,Nathaniel Wood,False,Decision - Unanimous,3,5:00,,Lukasz Bosacki,,Nathaniel Wood,0,50 of 72,69%,70 of 94,2 of 7,28%,0,0,2:44,50 of 72,37 of 57,6 of 7,7 of 8,36 of 56,5 of 6,9 of 10,Muhammad Naimov,0,48 of 81,59%,100 of 140,4 of 9,44%,0,1,6:42,48 of 81,31 of 60,10 of 13,7 of 8,24 of 48,11 of 14,13 of 19
Women's Strawweight Bout,Viktoriia Dudakova,Jinh Yu Frey,False,Decision - Unanimous,3,5:00,,Daniel Movahedi,,Viktoriia Dudakova,1,74 of 146,50%,109 of 183,0 of 3,0%,0,0,0:18,74 of 146,47 of 115,26 of 30,1 of 1,60 of 131,14 of 15,0 of 0,Jinh Yu Frey,0,47 of 101,46%,65 of 121,1 of 3,33%,0,0,4:40,47 of 101,31 of 80,8 of 13,8 of 8,37 of 89,3 of 4,7 of 8
Middleweight Bout,Shara Magomedov,Bruno Silva,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Shara Magomedov,0,113 of 154,73%,222 of 274,0 of 0,---,0,0,0:00,113 of 154,56 of 92,22 of 24,35 of 38,74 of 106,15 of 21,24 of 27,Bruno Silva,0,65 of 91,71%,107 of 138,3 of 7,42%,0,0,6:44,65 of 91,51 of 76,6 of 7,8 of 8,35 of 56,5 of 5,25 of 30
Featherweight Bout,Edson Barboza,Sodiq Yusuff,False,Decision - Unanimous,5,5:00,,Herb Dean,,Sodiq Yusuff,1,178 of 351,50%,206 of 397,1 of 2,50%,0,0,3:56,178 of 351,126 of 284,14 of 20,38 of 47,148 of 311,15 of 18,15 of 22,Edson Barboza,1,164 of 324,50%,178 of 347,3 of 4,75%,0,0,3:04,164 of 324,71 of 204,89 of 112,4 of 8,134 of 290,25 of 27,5 of 7
Women's Flyweight Bout,Viviane Araujo,Jennifer Maia,False,Decision - Unanimous,3,5:00,,Mark Smith,,Jennifer Maia,0,41 of 101,40%,60 of 126,2 of 4,50%,0,0,1:25,41 of 101,29 of 87,2 of 4,10 of 10,31 of 88,10 of 13,0 of 0,Viviane Araujo,0,24 of 46,52%,64 of 100,2 of 6,33%,1,0,7:03,24 of 46,15 of 36,4 of 5,5 of 5,22 of 43,1 of 2,1 of 1
Bantamweight Bout,Jonathan Martinez,Adrian Yanez,False,KO/TKO,2,2:26,,Kerry Hatley,,Jonathan Martinez,2,36 of 58,62%,36 of 60,0 of 0,---,0,0,0:19,36 of 58,7 of 15,0 of 2,29 of 41,36 of 58,0 of 0,0 of 0,Adrian Yanez,0,20 of 72,27%,20 of 73,0 of 0,---,0,0,0:10,20 of 72,9 of 59,10 of 12,1 of 1,17 of 66,3 of 6,0 of 0
Middleweight Bout,Michel Pereira,Andre Petroski,False,KO/TKO,1,1:06,,Chris Tognoni,,Andre Petroski,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Michel Pereira,1,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:04,6 of 18,5 of 17,1 of 1,0 of 0,2 of 6,0 of 0,4 of 12
Bantamweight Bout,Christian Rodriguez,Cameron Saaiman,False,Decision - Unanimous,3,5:00,,Mark Smith,,Christian Rodriguez,0,83 of 161,51%,92 of 173,3 of 6,50%,2,1,3:12,83 of 161,64 of 141,18 of 19,1 of 1,63 of 131,13 of 21,7 of 9,Cameron Saaiman,0,73 of 175,41%,87 of 192,0 of 5,0%,1,0,1:26,73 of 175,38 of 121,14 of 21,21 of 33,65 of 160,8 of 15,0 of 0
Featherweight Bout,Darren Elkins,TJ Brown,False,Submission,3,2:23,,Kerry Hatley,,Darren Elkins,0,11 of 33,33%,95 of 146,5 of 8,62%,2,1,8:09,11 of 33,8 of 29,3 of 3,0 of 1,11 of 32,0 of 1,0 of 0,TJ Brown,0,15 of 50,30%,45 of 86,2 of 2,100%,0,1,1:29,15 of 50,11 of 45,1 of 2,3 of 3,15 of 49,0 of 0,0 of 1
Women's Bantamweight Bout,Tainara Lisboa,Ravena Oliveira,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Tainara Lisboa,0,18 of 35,51%,77 of 106,3 of 8,37%,0,0,6:55,18 of 35,9 of 24,8 of 9,1 of 2,7 of 20,11 of 12,0 of 3,Ravena Oliveira,0,15 of 31,48%,61 of 87,2 of 3,66%,0,0,5:22,15 of 31,10 of 23,3 of 6,2 of 2,13 of 28,2 of 3,0 of 0
Lightweight Bout,Terrance McKinney,Brendon Marotte,False,KO/TKO,1,0:20,,Herb Dean,,Terrance McKinney,1,14 of 21,66%,14 of 21,0 of 0,---,0,0,0:15,14 of 21,14 of 21,0 of 0,0 of 0,0 of 1,1 of 1,13 of 19,Brendon Marotte,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,1 of 1,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
Women's Bantamweight Bout,Melissa Dixon,Irina Alekseeva,False,Decision - Unanimous,3,5:00,,Mark Smith,,Irina Alekseeva,1,48 of 108,44%,60 of 126,1 of 4,25%,0,0,0:50,48 of 108,23 of 72,2 of 7,23 of 29,44 of 99,2 of 4,2 of 5,Melissa Dixon,0,52 of 95,54%,87 of 148,0 of 1,0%,0,0,8:15,52 of 95,47 of 89,5 of 6,0 of 0,42 of 76,1 of 1,9 of 18
Bantamweight Bout,Chris Gutierrez,Alatengheili,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Chris Gutierrez,0,110 of 197,55%,115 of 203,0 of 0,---,0,0,0:08,110 of 197,44 of 96,10 of 20,56 of 81,110 of 195,0 of 2,0 of 0,Alatengheili,0,38 of 133,28%,39 of 134,2 of 4,50%,0,0,0:51,38 of 133,25 of 108,10 of 21,3 of 4,38 of 130,0 of 2,0 of 1
Women's Strawweight Bout,Emily Ducote,Ashley Yoder,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Ashley Yoder,0,102 of 269,37%,105 of 276,0 of 3,0%,0,0,0:09,102 of 269,59 of 216,32 of 40,11 of 13,93 of 259,9 of 10,0 of 0,Emily Ducote,0,117 of 210,55%,119 of 213,1 of 1,100%,0,0,0:03,117 of 210,69 of 145,29 of 40,19 of 25,117 of 209,0 of 1,0 of 0
Lightweight Bout,Bobby Green,Grant Dawson,False,KO/TKO,1,0:33,,Keith Peterson,,Grant Dawson,0,0 of 6,0%,0 of 6,0 of 0,---,0,0,0:00,0 of 6,0 of 6,0 of 0,0 of 0,0 of 6,0 of 0,0 of 0,Bobby Green,1,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:05,7 of 11,7 of 10,0 of 0,0 of 1,1 of 4,0 of 0,6 of 7
Middleweight Bout,Joe Pyfer,Abdul Razak Alhassan,False,Submission,2,2:05,,Mark Smith,,Joe Pyfer,0,26 of 62,41%,26 of 63,3 of 4,75%,2,0,1:07,26 of 62,15 of 47,9 of 12,2 of 3,24 of 60,2 of 2,0 of 0,Abdul Razak Alhassan,0,11 of 28,39%,11 of 28,0 of 0,---,1,0,0:08,11 of 28,4 of 15,2 of 3,5 of 10,11 of 27,0 of 1,0 of 0
Welterweight Bout,Joaquin Buckley,Alex Morono,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Alex Morono,0,40 of 141,28%,54 of 161,1 of 2,50%,0,0,0:13,40 of 141,29 of 122,10 of 17,1 of 2,37 of 133,3 of 8,0 of 0,Joaquin Buckley,0,68 of 176,38%,77 of 186,2 of 4,50%,0,0,2:21,68 of 176,41 of 134,24 of 36,3 of 6,55 of 141,2 of 9,11 of 26
Lightweight Bout,Drew Dober,Ricky Glenn,False,KO/TKO,1,2:36,,Chris Tognoni,,Drew Dober,1,30 of 53,56%,30 of 53,0 of 0,---,0,0,0:31,30 of 53,19 of 40,7 of 9,4 of 4,20 of 38,2 of 3,8 of 12,Ricky Glenn,0,5 of 22,22%,5 of 22,0 of 1,0%,0,0,0:00,5 of 22,2 of 15,3 of 7,0 of 0,5 of 22,0 of 0,0 of 0
Featherweight Bout,Bill Algeo,Alexander Hernandez,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Alexander Hernandez,0,75 of 156,48%,76 of 157,0 of 1,0%,0,0,0:35,75 of 156,25 of 80,45 of 66,5 of 10,75 of 154,0 of 2,0 of 0,Bill Algeo,1,110 of 244,45%,119 of 257,1 of 1,100%,0,0,0:07,110 of 244,46 of 156,33 of 50,31 of 38,108 of 241,2 of 3,0 of 0
Women's Strawweight Bout,Karolina Kowalkiewicz,Diana Belbita,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Karolina Kowalkiewicz,0,141 of 267,52%,155 of 283,1 of 6,16%,0,1,2:15,141 of 267,94 of 203,42 of 58,5 of 6,123 of 244,17 of 21,1 of 2,Diana Belbita,0,99 of 261,37%,108 of 270,2 of 2,100%,0,1,0:53,99 of 261,57 of 199,33 of 50,9 of 12,85 of 241,13 of 18,1 of 2
Flyweight Bout,Nate Maness,Mateus Mendonca,False,KO/TKO,1,4:40,,Chris Tognoni,,Nate Maness,0,29 of 35,82%,103 of 114,0 of 0,---,0,0,1:31,29 of 35,26 of 31,2 of 3,1 of 1,1 of 2,2 of 3,26 of 30,Mateus Mendonca,0,3 of 7,42%,9 of 16,0 of 3,0%,0,0,1:14,3 of 7,0 of 3,2 of 3,1 of 1,1 of 5,2 of 2,0 of 0
Women's Strawweight Bout,Vanessa Demopoulos,Kanako Murata,False,Decision - Unanimous,3,5:00,,Mark Smith,,Vanessa Demopoulos,0,31 of 65,47%,86 of 144,0 of 1,0%,0,1,0:42,31 of 65,21 of 49,10 of 13,0 of 3,10 of 36,7 of 10,14 of 19,Kanako Murata,0,34 of 64,53%,70 of 116,5 of 6,83%,0,0,10:10,34 of 64,27 of 55,4 of 5,3 of 4,10 of 23,1 of 1,23 of 40
Bantamweight Bout,Aoriqileng,Johnny Munoz,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Aoriqileng,1,44 of 66,66%,120 of 159,2 of 4,50%,0,0,5:39,44 of 66,24 of 41,8 of 11,12 of 14,28 of 45,1 of 3,15 of 18,Johnny Munoz,0,7 of 36,19%,31 of 73,4 of 11,36%,3,0,4:30,7 of 36,5 of 30,2 of 3,0 of 3,7 of 33,0 of 3,0 of 0
Women's Flyweight Bout,JJ Aldrich,Montana De La Rosa,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Montana De La Rosa,0,67 of 204,32%,70 of 209,0 of 1,0%,0,0,0:00,67 of 204,41 of 172,13 of 16,13 of 16,59 of 184,8 of 20,0 of 0,JJ Aldrich,0,65 of 135,48%,66 of 136,0 of 0,---,0,0,0:22,65 of 135,55 of 122,9 of 11,1 of 2,58 of 124,7 of 11,0 of 0
Lightweight Bout,Mateusz Gamrot,Rafael Fiziev,False,KO/TKO,2,2:03,,Herb Dean,,Rafael Fiziev,0,18 of 32,56%,19 of 34,0 of 0,---,0,0,0:00,18 of 32,4 of 14,12 of 16,2 of 2,18 of 32,0 of 0,0 of 0,Mateusz Gamrot,0,16 of 40,40%,17 of 42,1 of 6,16%,0,0,1:28,16 of 40,11 of 31,2 of 5,3 of 4,13 of 35,1 of 1,2 of 4
Featherweight Bout,Bryce Mitchell,Dan Ige,False,Decision - Unanimous,3,5:00,,Mark Smith,,Bryce Mitchell,0,23 of 40,57%,37 of 59,5 of 15,33%,1,0,7:33,23 of 40,13 of 22,7 of 14,3 of 4,17 of 29,1 of 3,5 of 8,Dan Ige,0,18 of 55,32%,32 of 72,0 of 0,---,0,1,2:11,18 of 55,13 of 47,3 of 6,2 of 2,16 of 51,2 of 3,0 of 1
Women's Strawweight Bout,Marina Rodriguez,Michelle Waterson-Gomez,False,KO/TKO,2,2:42,,Kerry Hatley,,Marina Rodriguez,0,70 of 102,68%,90 of 130,1 of 1,100%,0,0,2:03,70 of 102,47 of 70,22 of 30,1 of 2,12 of 23,53 of 73,5 of 6,Michelle Waterson-Gomez,0,13 of 32,40%,16 of 37,1 of 6,16%,0,0,2:49,13 of 32,7 of 23,5 of 7,1 of 2,4 of 17,7 of 9,2 of 6
Welterweight Bout,Bryan Battle,AJ Fletcher,False,Submission,2,4:32,,Dan Miragliotta,,Bryan Battle,0,45 of 80,56%,63 of 105,1 of 2,50%,1,0,3:30,45 of 80,9 of 25,34 of 52,2 of 3,29 of 61,16 of 19,0 of 0,AJ Fletcher,0,25 of 51,49%,29 of 57,0 of 2,0%,0,0,0:33,25 of 51,6 of 26,6 of 9,13 of 16,20 of 41,5 of 9,0 of 1
Featherweight Bout,Charles Jourdain,Ricardo Ramos,False,Submission,1,3:12,,Herb Dean,,Ricardo Ramos,0,0 of 9,0%,0 of 10,2 of 3,66%,1,0,1:58,0 of 9,0 of 6,0 of 1,0 of 2,0 of 9,0 of 0,0 of 0,Charles Jourdain,0,8 of 9,88%,8 of 10,0 of 0,---,1,0,0:00,8 of 9,3 of 4,4 of 4,1 of 1,7 of 8,1 of 1,0 of 0
Bantamweight Bout,,,False,Overturned,3,5:00,,Kerry Hatley,,Dan Argueta,0,33 of 85,38%,38 of 95,2 of 6,33%,2,0,3:55,33 of 85,20 of 67,8 of 12,5 of 6,22 of 70,5 of 8,6 of 7,Miles Johns,0,43 of 92,46%,52 of 104,2 of 6,33%,0,0,4:39,43 of 92,32 of 77,5 of 9,6 of 6,40 of 84,2 of 3,1 of 5
Bantamweight Bout,,,False,Overturned,3,5:00,,Kerry Hatley,,Dan Argueta,0,33 of 85,38%,38 of 95,2 of 6,33%,2,0,3:55,33 of 85,20 of 67,8 of 12,5 of 6,22 of 70,5 of 8,6 of 7,Miles Johns,0,43 of 92,46%,52 of 104,2 of 6,33%,0,0,4:39,43 of 92,32 of 77,5 of 9,6 of 6,40 of 84,2 of 3,1 of 5
Welterweight Bout,Tim Means,Andre Fialho,False,KO/TKO,3,1:15,,Dan Miragliotta,,Tim Means,2,104 of 143,72%,134 of 178,0 of 2,0%,0,1,2:51,104 of 143,66 of 103,33 of 35,5 of 5,56 of 87,30 of 35,18 of 21,Andre Fialho,0,51 of 103,49%,56 of 110,1 of 1,100%,0,0,0:48,51 of 103,32 of 75,15 of 23,4 of 5,35 of 86,16 of 17,0 of 0
Middleweight Bout,Cody Brundage,Jacob Malkoun,False,DQ,1,4:15,,Mark Smith,,Jacob Malkoun,0,28 of 39,71%,44 of 60,1 of 3,33%,0,0,3:39,28 of 39,28 of 39,0 of 0,0 of 0,0 of 0,0 of 0,28 of 39,Cody Brundage,0,2 of 4,50%,3 of 5,1 of 1,100%,0,0,0:26,2 of 4,1 of 3,0 of 0,1 of 1,1 of 3,0 of 0,1 of 1
Heavyweight Bout,Mohammed Usman,Jake Collier,False,Decision - Unanimous,3,5:00,,Dan Miragliotta,,Mohammed Usman,0,85 of 191,44%,118 of 234,1 of 3,33%,0,0,3:07,85 of 191,58 of 156,27 of 35,0 of 0,83 of 186,1 of 3,1 of 2,Jake Collier,0,87 of 183,47%,100 of 198,0 of 0,---,2,0,0:53,87 of 183,53 of 145,22 of 25,12 of 13,80 of 171,7 of 12,0 of 0
